Agreement,Step,Δcount,Δroots,Δorphans,Δdepth,Δretyped
41,LateMetadataRemoverStep,-5,0,0,0,0
41,LegalContentClassifierV6,117,18,99,3,0
41,MainTitleClassifierV6,24,24,0,0,0
41,SmartSectionClassifierV6,69,30,39,3,0
41,TextClassifier,0,0,0,0,3331
42,ContentClassifierV6,1511,0,1511,4,0
42,EmptyElementClassifier,0,0,0,0,22
42,EnhancedClauseClassifierV6,249,0,249,5,0
42,EnhancedTOCDetector,1,1,0,1,0
42,HeadingClassifierV6,149,100,49,0,0
42,ImprovedMetadataRemoverV7,0,0,0,0,1216
42,LateMetadataRemoverStep,-5,0,0,0,0
42,LegalContentClassifierV6,128,24,104,3,0
42,MainTitleClassifierV6,25,25,0,0,0
42,SmartSectionClassifierV6,73,30,43,3,0
42,TextClassifier,0,0,0,0,3489
43,ContentClassifierV6,1514,0,1514,4,0
43,EmptyElementClassifier,0,0,0,0,22
43,EnhancedClauseClassifierV6,249,0,249,5,0
43,EnhancedTOCDetector,1,1,0,1,0
43,HeadingClassifierV6,149,100,49,0,0
43,ImprovedMetadataRemoverV7,0,0,0,0,1238
43,LateMetadataRemoverStep,-5,0,0,0,0
43,LegalContentClassifierV6,128,24,104,3,0
43,MainTitleClassifierV6,25,25,0,0,0
43,SmartSectionClassifierV6,73,30,43,3,0
43,TextClassifier,0,0,0,0,3506
44,ContentClassifierV6,1543,0,1543,4,0
44,EmptyElementClassifier,0,0,0,0,22
44,EnhancedClauseClassifierV6,257,0,257,5,0
44,EnhancedTOCDetector,1,1,0,1,0
44,HeadingClassifierV6,156,102,54,0,0
44,ImprovedMetadataRemoverV7,0,0,0,0,1264
44,LateMetadataRemoverStep,-5,0,0,0,0
44,LegalContentClassifierV6,134,25,109,3,0
44,MainTitleClassifierV6,26,26,0,0,0
44,SmartSectionClassifierV6,73,30,43,3,0
44,TextClassifier,0,0,0,0,3557
45,ContentClassifierV6,1553,0,1553,4,0
45,EmptyElementClassifier,0,0,0,0,22
45,EnhancedClauseClassifierV6,257,0,257,5,0
45,EnhancedTOCDetector,1,1,0,1,0
45,HeadingClassifierV6,156,102,54,0,0
45,ImprovedMetadataRemoverV7,0,0,0,0,1268
45,LateMetadataRemoverStep,-5,0,0,0,0
45,LegalContentClassifierV6,134,25,109,3,0
45,MainTitleClassifierV6,27,27,0,0,0
45,SmartSectionClassifierV6,77,30,47,3,0
45,TextClassifier,0,0,0,0,3568
