Agreement,Step,Δelement_count,Δroots,Δorphans,Δdepth,Δretyped
14,VisualHeadingDetector,0,0,0,0,0
15,ConsecutivePageNumberClassifier,0,0,0,0,0
15,ContentClassifierV6,0,0,0,0,0
15,EarlyMetadataRemoverStep,0,0,0,0,0
15,EmptyElementClassifier,0,0,0,0,0
15,EnhancedClauseClassifierV6,0,0,0,0,121
15,EnhancedTOCDetector,0,0,0,0,0
15,FallbackTitleClassifier,0,0,0,0,0
15,HeadingClassifierV6,0,0,0,0,0
15,HierarchyBuilder,0,0,0,0,0
15,HtmlCommentRemoverStep,0,0,0,0,0
15,ImprovedMetadataRemoverv8,0,0,0,0,241
15,LateMetadataRemoverStep,0,0,0,0,0
15,LegalContentClassifierV6,0,0,0,0,0
15,MainTitleClassifierV6,0,0,0,0,0
15,OrphanAttacherStep,0,0,0,0,0
15,PageContinuationMerger,0,0,0,0,0
15,RepeatedHeaderFooterDetector,0,0,0,0,0
15,SmartSectionClassifierV6,0,0,0,0,0
15,TableClassifier,0,0,0,0,0
15,TableOfContentsClassifier,0,0,0,0,0
15,TableRootPromoter,0,0,0,0,0
15,TextClassifier,0,0,0,0,910
15,TextElementMerger,0,0,0,0,0
15,VisualHeadingDetector,0,0,0,0,0
16,ConsecutivePageNumberClassifier,0,0,0,0,0
16,ContentClassifierV6,0,0,0,0,0
16,EarlyMetadataRemoverStep,0,0,0,0,0
16,EmptyElementClassifier,0,0,0,0,0
16,EnhancedClauseClassifierV6,0,0,0,0,121
16,EnhancedTOCDetector,0,0,0,0,0
16,FallbackTitleClassifier,0,0,0,0,0
16,HeadingClassifierV6,0,0,0,0,0
16,HierarchyBuilder,0,0,0,0,0
16,HtmlCommentRemoverStep,0,0,0,0,0
16,ImprovedMetadataRemoverv8,0,0,0,0,241
16,LateMetadataRemoverStep,0,0,0,0,0
16,LegalContentClassifierV6,0,0,0,0,0
16,MainTitleClassifierV6,0,0,0,0,0
16,OrphanAttacherStep,0,0,0,0,0
16,PageContinuationMerger,0,0,0,0,0
16,RepeatedHeaderFooterDetector,0,0,0,0,0
16,SmartSectionClassifierV6,0,0,0,0,0
16,TableClassifier,0,0,0,0,0
16,TableOfContentsClassifier,0,0,0,0,0
16,TableRootPromoter,0,0,0,0,0
16,TextClassifier,0,0,0,0,910
16,TextElementMerger,0,0,0,0,0
16,VisualHeadingDetector,0,0,0,0,0
17,ConsecutivePageNumberClassifier,0,0,0,0,0
17,ContentClassifierV6,0,0,0,0,0
17,EarlyMetadataRemoverStep,0,0,0,0,0
17,EmptyElementClassifier,0,0,0,0,0
17,EnhancedClauseClassifierV6,0,0,0,0,121
17,EnhancedTOCDetector,0,0,0,0,0
17,FallbackTitleClassifier,0,0,0,0,0
17,HeadingClassifierV6,0,0,0,0,0
17,HierarchyBuilder,0,0,0,0,0
17,HtmlCommentRemoverStep,0,0,0,0,0
17,ImprovedMetadataRemoverv8,0,0,0,0,241
17,LateMetadataRemoverStep,0,0,0,0,0
17,LegalContentClassifierV6,0,0,0,0,0
17,MainTitleClassifierV6,0,0,0,0,0
17,OrphanAttacherStep,0,0,0,0,0
17,PageContinuationMerger,0,0,0,0,0
17,RepeatedHeaderFooterDetector,0,0,0,0,0
17,SmartSectionClassifierV6,0,0,0,0,0
17,TableClassifier,0,0,0,0,0
17,TableOfContentsClassifier,0,0,0,0,0
17,TableRootPromoter,0,0,0,0,0
17,TextClassifier,0,0,0,0,919
17,TextElementMerger,0,0,0,0,0
17,VisualHeadingDetector,0,0,0,0,0
18,ConsecutivePageNumberClassifier,0,0,0,0,0
18,ContentClassifierV6,0,0,0,0,0
18,EarlyMetadataRemoverStep,0,0,0,0,0
18,EmptyElementClassifier,0,0,0,0,0
18,EnhancedClauseClassifierV6,0,0,0,0,121
18,EnhancedTOCDetector,0,0,0,0,0
18,FallbackTitleClassifier,0,0,0,0,0
18,HeadingClassifierV6,0,0,0,0,0
18,HierarchyBuilder,0,0,0,0,0
18,HtmlCommentRemoverStep,0,0,0,0,0
18,ImprovedMetadataRemoverv8,0,0,0,0,244
18,LateMetadataRemoverStep,0,0,0,0,0
18,LegalContentClassifierV6,0,0,0,0,0
18,MainTitleClassifierV6,0,0,0,0,0
18,OrphanAttacherStep,0,0,0,0,0
18,PageContinuationMerger,0,0,0,0,0
18,RepeatedHeaderFooterDetector,0,0,0,0,0
18,SmartSectionClassifierV6,0,0,0,0,0
18,TableClassifier,0,0,0,0,0
18,TableOfContentsClassifier,0,0,0,0,0
18,TableRootPromoter,0,0,0,0,0
18,TextClassifier,0,0,0,0,929
18,TextElementMerger,0,0,0,0,0
18,VisualHeadingDetector,0,0,0,0,0
19,ConsecutivePageNumberClassifier,0,0,0,0,0
19,ContentClassifierV6,0,0,0,0,0
19,EarlyMetadataRemoverStep,0,0,0,0,0
19,EmptyElementClassifier,0,0,0,0,0
19,EnhancedClauseClassifierV6,0,0,0,0,121
19,EnhancedTOCDetector,0,0,0,0,0
19,FallbackTitleClassifier,0,0,0,0,0
19,HeadingClassifierV6,0,0,0,0,0
19,HierarchyBuilder,0,0,0,0,0
19,HtmlCommentRemoverStep,0,0,0,0,0
19,ImprovedMetadataRemoverv8,0,0,0,0,246
19,LateMetadataRemoverStep,0,0,0,0,0
19,LegalContentClassifierV6,0,0,0,0,0
19,MainTitleClassifierV6,0,0,0,0,0
19,OrphanAttacherStep,0,0,0,0,0
19,PageContinuationMerger,0,0,0,0,0
19,RepeatedHeaderFooterDetector,0,0,0,0,0
19,SmartSectionClassifierV6,0,0,0,0,0
19,TableClassifier,0,0,0,0,0
19,TableOfContentsClassifier,0,0,0,0,0
19,TableRootPromoter,0,0,0,0,0
19,TextClassifier,0,0,0,0,942
19,TextElementMerger,0,0,0,0,0
19,VisualHeadingDetector,0,0,0,0,0
20,ConsecutivePageNumberClassifier,0,0,0,0,0
20,ContentClassifierV6,0,0,0,0,0
20,EarlyMetadataRemoverStep,0,0,0,0,0
20,EmptyElementClassifier,0,0,0,0,0
20,EnhancedClauseClassifierV6,0,0,0,0,121
20,EnhancedTOCDetector,0,0,0,0,0
20,FallbackTitleClassifier,0,0,0,0,0
20,HeadingClassifierV6,0,0,0,0,0
20,HierarchyBuilder,0,0,0,0,0
20,HtmlCommentRemoverStep,0,0,0,0,0
20,ImprovedMetadataRemoverv8,0,0,0,0,247
20,LateMetadataRemoverStep,0,0,0,0,0
20,LegalContentClassifierV6,0,0,0,0,0
20,MainTitleClassifierV6,0,0,0,0,0
20,OrphanAttacherStep,0,0,0,0,0
20,PageContinuationMerger,0,0,0,0,0
20,RepeatedHeaderFooterDetector,0,0,0,0,0
20,SmartSectionClassifierV6,0,0,0,0,0
20,TableClassifier,0,0,0,0,0
20,TableOfContentsClassifier,0,0,0,0,0
20,TableRootPromoter,0,0,0,0,0
20,TextClassifier,0,0,0,0,947
20,TextElementMerger,0,0,0,0,0
20,VisualHeadingDetector,0,0,0,0,0
21,ConsecutivePageNumberClassifier,0,0,0,0,0
21,ContentClassifierV6,0,0,0,0,0
21,EarlyMetadataRemoverStep,0,0,0,0,0
21,EmptyElementClassifier,0,0,0,0,0
21,EnhancedClauseClassifierV6,0,0,0,0,121
21,EnhancedTOCDetector,0,0,0,0,0
21,FallbackTitleClassifier,0,0,0,0,0
21,HeadingClassifierV6,0,0,0,0,0
21,HierarchyBuilder,0,0,0,0,0
21,HtmlCommentRemoverStep,0,0,0,0,0
21,ImprovedMetadataRemoverv8,0,0,0,0,247
21,LateMetadataRemoverStep,0,0,0,0,0
21,LegalContentClassifierV6,0,0,0,0,0
21,MainTitleClassifierV6,0,0,0,0,0
21,OrphanAttacherStep,0,0,0,0,0
21,PageContinuationMerger,0,0,0,0,0
21,RepeatedHeaderFooterDetector,0,0,0,0,0
21,SmartSectionClassifierV6,0,0,0,0,0
21,TableClassifier,0,0,0,0,0
21,TableOfContentsClassifier,0,0,0,0,0
21,TableRootPromoter,0,0,0,0,0
