Agreement,Step,Δcount,Δroots,Δorphans,Δdepth,Δretyped
11,EnhancedClauseClassifierV6,0,0,0,0,0
11,EnhancedTOCDetector,0,0,0,0,0
11,FallbackTitleClassifier,0,0,0,0,0
11,HeadingClassifierV6,0,0,0,0,0
11,HierarchyBuilder,0,0,0,0,0
11,HtmlCommentRemoverStep,0,0,0,0,0
11,ImprovedMetadataRemoverV7,0,0,0,0,150
11,LateMetadataRemoverStep,0,0,0,0,0
11,LegalContentClassifierV6,0,0,0,0,0
11,MainTitleClassifierV6,0,0,0,0,0
11,OrphanAttacherStep,0,0,0,0,0
11,SmartSectionClassifierV6,0,0,0,0,0
11,TableClassifier,0,0,0,0,0
11,TableOfContentsClassifier,0,0,0,0,0
11,TableRootPromoter,0,0,0,0,0
11,TextClassifier,0,0,0,0,628
11,TextElementMerger,0,0,0,0,0
11,VisualHeadingDetector,0,0,0,0,0
12,ConsecutivePageNumberClassifier,0,0,0,0,0
12,ContentClassifierV6,0,0,0,0,0
12,EarlyMetadataRemoverStep,0,0,0,0,0
12,EmptyElementClassifier,0,0,0,0,5
12,EnhancedClauseClassifierV6,0,0,0,0,0
12,EnhancedTOCDetector,0,0,0,0,0
12,FallbackTitleClassifier,0,0,0,0,0
12,HeadingClassifierV6,0,0,0,0,0
12,HierarchyBuilder,0,0,0,0,0
12,HtmlCommentRemoverStep,0,0,0,0,0
12,ImprovedMetadataRemoverV7,0,0,0,0,162
12,LateMetadataRemoverStep,0,0,0,0,0
12,LegalContentClassifierV6,0,0,0,0,0
12,MainTitleClassifierV6,0,0,0,0,0
12,OrphanAttacherStep,0,0,0,0,0
12,SmartSectionClassifierV6,0,0,0,0,0
12,TableClassifier,0,0,0,0,0
12,TableOfContentsClassifier,0,0,0,0,0
12,TableRootPromoter,0,0,0,0,0
12,TextClassifier,0,0,0,0,667
12,TextElementMerger,0,0,0,0,0
12,VisualHeadingDetector,0,0,0,0,0
13,ConsecutivePageNumberClassifier,0,0,0,0,0
13,ContentClassifierV6,0,0,0,0,0
13,EarlyMetadataRemoverStep,0,0,0,0,0
